City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
403,Salinopolis,BR,78.03,scattered clouds,-0.61,-47.36,Salinas Park Resort Maçarico AP101
404,Marsh Harbour,BS,72.01,broken clouds,26.54,-77.06,Abaco Beach Resort
406,Oistins,BB,80.6,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
409,Mangrol,IN,77.99,clear sky,21.12,70.12,Hotel The Royal Honours
410,Kloulklubed,PW,78.8,light intensity shower rain,7.04,134.26,Storyboard Beach Resort
412,Nelson Bay,AU,73.99,overcast clouds,-32.72,152.15,Mantra Nelson Bay
415,Luganville,VU,82.4,light rain,-15.53,167.17,The Espiritu Hotel
416,Cabedelo,BR,77.0,few clouds,-6.98,-34.83,Lua Mansa Pousada
417,Takoradi,GH,78.24,light rain,4.88,-1.76,Raybow International Hotel
418,Road Town,VG,78.01,clear sky,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
419,Fort Abbas,PK,70.57,clear sky,29.19,72.85,AsAd's House
421,Labuhan,ID,87.62,broken clouds,-6.88,112.21,bador sepret
423,Paungde,MM,82.4,scattered clouds,18.48,95.5,Shwe Eain Matt highly cool guest house
425,Cayenne,GF,75.2,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
431,Novo Aripuana,BR,73.94,overcast clouds,-5.12,-60.38,Hotel Ypê
432,Cachoeiro De Itapemirim,BR,72.25,light rain,-20.85,-41.11,San Karlo Hotel
433,Lunglei,IN,75.02,clear sky,22.88,92.73,Hotel Elite
434,Dhone,IN,75.96,scattered clouds,15.42,77.88,Pennera Rakesh
435,Kailua,US,75.2,clear sky,21.4,-157.74,Sheffield House Bed & Breakfast
436,Sechura,PE,70.21,overcast clouds,-5.56,-80.82,Hospedaje Costa Bella
438,Saint-Pierre,RE,84.2,clear sky,-21.34,55.48,Lindsey Hôtel
446,Mahibadhoo,MV,82.4,overcast clouds,3.78,72.97,Omadhoo Inn
449,Bathsheba,BB,80.6,scattered clouds,13.22,-59.52,Atlantis Hotel
450,Nong Kung Si,TH,78.01,scattered clouds,16.65,103.3,บ้าน พี่บิ๊ก
