City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Vao,NC,-22.67,167.48,77.31,69,69,6.71,broken clouds
269,Batagay,RU,67.63,134.63,-46.08,76,100,1.9,overcast clouds
270,Guerrero Negro,MX,27.98,-114.06,58.33,76,9,8.43,clear sky
271,Aklavik,CA,68.22,-135.01,-13.0,75,84,4.7,broken clouds
272,Opuwo,NA,-18.06,13.84,70.2,30,84,0.67,broken clouds
273,Pankrushikha,RU,53.83,80.34,7.29,94,100,13.29,light snow
274,Westport,US,41.14,-73.36,39.2,51,1,9.17,clear sky
275,Metaxades,GR,41.42,26.23,41.0,93,75,2.59,broken clouds
276,Pimenta Bueno,BR,-11.67,-61.19,72.46,90,100,2.37,overcast clouds
277,Mantua,IT,45.17,10.78,46.99,96,88,1.99,overcast clouds
278,Fort Nelson,CA,58.81,-122.7,-14.8,75,40,3.36,scattered clouds
279,Yulara,AU,-25.24,130.99,86.0,16,70,19.46,broken clouds
280,Guara,BR,-20.43,-47.82,70.92,87,100,3.0,overcast clouds
281,Tuatapere,NZ,-46.13,167.68,57.99,91,100,10.0,light rain
282,Mata,PT,40.68,-7.46,47.16,89,100,4.76,overcast clouds
283,Guarapari,BR,-20.67,-40.5,78.8,83,75,5.82,heavy intensity rain
284,Gaziantep,TR,37.06,37.38,41.0,93,20,4.79,few clouds
285,Almaznyy,RU,48.04,40.05,21.2,85,40,13.42,light snow
286,Carballo,ES,43.21,-8.69,53.6,87,20,10.29,few clouds
287,Opocno,CZ,50.27,16.11,48.99,96,100,2.53,overcast clouds
288,Shirokiy,RU,49.76,129.52,5.95,92,100,8.5,light snow
289,Zabaykalsk,RU,49.63,117.32,4.86,88,87,14.94,overcast clouds
290,Sydney,AU,-33.87,151.21,75.0,56,75,20.8,broken clouds
291,Campbellsville,US,37.34,-85.34,39.2,74,1,6.93,clear sky
292,Samalkha,IN,29.23,77.02,69.19,24,0,4.61,clear sky
293,Cabadiangan,PH,9.75,122.47,88.05,63,71,9.46,broken clouds
294,Turbat,PK,26.0,63.04,69.91,22,0,22.01,clear sky
295,Bambanglipuro,ID,-7.95,110.28,85.15,63,23,9.15,few clouds
296,Aksu,CN,41.12,80.26,26.82,83,88,0.47,overcast clouds
297,Hanzhong,CN,33.07,107.03,49.73,42,67,0.65,broken clouds
298,Muros,ES,42.78,-9.06,55.99,87,97,12.64,overcast clouds
299,Fukue,JP,32.69,128.84,57.2,62,75,8.05,broken clouds
300,Puerto Madryn,AR,-42.77,-65.04,66.07,38,58,9.26,broken clouds
301,Ca Mau,VN,9.18,105.15,71.87,90,100,8.3,moderate rain
302,Qaqortoq,GL,60.72,-46.03,44.6,39,100,23.04,light snow
303,Conde,BR,-7.26,-34.91,77.0,83,20,5.82,few clouds
304,Pathein,MM,16.78,94.73,83.71,46,75,6.69,broken clouds
305,Moron,AR,-34.65,-58.62,75.99,51,0,4.0,light rain
306,Srednekolymsk,RU,67.45,153.68,-24.97,86,100,3.85,overcast clouds
307,Mandalgovi,MN,45.76,106.27,4.12,79,0,12.77,clear sky
308,Kinkala,CG,-4.36,14.76,71.67,95,99,5.01,overcast clouds
309,Diamantino,BR,-14.41,-56.45,75.22,89,100,1.72,moderate rain
310,Hohhot,CN,40.81,111.65,21.2,41,0,8.95,haze
311,Sindor,RU,62.86,51.89,31.98,98,99,8.86,overcast clouds
312,Dalbandin,PK,28.89,64.41,52.54,41,0,9.46,clear sky
313,Manggar,ID,-2.88,108.27,83.62,74,100,3.89,moderate rain
314,San Fernando,PH,15.03,120.69,86.0,70,75,6.93,broken clouds
315,Okhotsk,RU,59.38,143.3,-13.07,80,24,17.45,few clouds
316,Torbay,CA,47.67,-52.73,42.01,80,90,21.92,light rain
317,Touros,BR,-5.2,-35.46,78.8,78,40,12.75,scattered clouds
318,College,US,64.86,-147.8,27.0,79,75,3.36,light snow
319,Kampene,CD,-3.6,26.67,70.68,94,100,2.17,overcast clouds
320,Yeppoon,AU,-23.13,150.73,93.2,44,75,6.93,broken clouds
321,Xixiang,CN,35.16,112.86,51.76,34,61,9.84,broken clouds
322,Oranjestad,AW,12.52,-70.03,80.6,78,20,13.87,few clouds
323,Half Moon Bay,US,37.46,-122.43,50.0,61,1,5.82,clear sky
324,Kovur,IN,14.48,79.98,80.15,51,25,8.01,scattered clouds
325,Santa Cruz,BO,-17.8,-63.17,73.4,83,92,3.36,overcast clouds
326,Mae Hong Son,TH,19.3,97.97,75.2,53,20,2.24,few clouds
327,Nemuro,JP,43.32,145.57,39.2,51,20,5.82,few clouds
328,Miraflores,MX,19.22,-98.81,59.0,58,5,4.7,clear sky
329,Krasnyye Baki,RU,57.13,45.16,12.42,96,93,6.42,overcast clouds
330,Batemans Bay,AU,-35.72,150.18,69.01,74,20,4.0,few clouds
331,Ongandjera,NA,-17.88,15.07,72.54,26,31,7.52,scattered clouds
332,Kiboga,UG,0.92,31.77,74.97,61,22,0.85,few clouds
333,Pacific Grove,US,36.62,-121.92,52.0,71,1,11.41,clear sky
334,Eregli,TR,37.51,34.05,33.96,89,86,2.08,overcast clouds
335,Lamar,US,33.67,-95.58,57.2,62,90,13.87,overcast clouds
336,La Rioja,ES,42.25,-2.5,42.8,100,90,5.46,fog
337,Shipitsyno,RU,61.28,46.52,26.15,98,97,4.29,light snow
338,Avera,US,33.19,-82.53,35.6,60,1,6.06,clear sky
339,Kavaratti,IN,10.57,72.64,82.4,74,90,3.36,haze
340,San Cristobal,VE,7.77,-72.22,64.49,90,47,2.17,scattered clouds
341,Ketchikan,US,55.34,-131.65,37.4,74,90,18.34,overcast clouds
